respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed,b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_dur6,b_dur9,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
147,33,Male,No religion,Single,Yes,None,4,NA,,20260909002,-2.32971,-1.22161,-1.58812,-2.48082,-3.20475,-0.259946,-0.0874307,0.0761403,0.0593357,-0.130105,1.07394,0.268623,0.468909,0.658937,2.24246,2.1327,0.555295,1.38365,1.38938,2.55361,-0.8709,-1.12149,-0.218235,-0.0486721,-0.299907,-0.815463,-1.53627,-3.52562,-0.222017
148,40,Male,No religion,Married,No,Bereaved,1,NA,,20260909002,-2.39691,-1.38163,-1.47895,-2.6532,-3.16073,-0.332247,-0.0895175,-0.0358116,0.0102725,-0.132607,1.51164,0.816932,0.690088,1.21307,2.4062,2.10866,0.676941,1.38625,1.65017,2.43418,-0.861927,-1.03404,-0.186644,-0.0203024,-0.350062,-0.838771,-1.53386,-3.50586,-0.21095
149,66,Female,No religion,Widowed,No,Bereaved,1,NA,,20260909002,-2.14253,-1.06575,-1.48873,-2.38342,-2.90549,-0.0668115,0.0589055,0.139551,0.202216,0.022519,1.04852,0.405942,0.55841,0.661673,1.817,1.86504,0.429455,1.20876,1.33683,2.17573,-0.84441600000000006,-0.973106,-0.196957,-0.0272778,-0.292612,-0.754363,-1.46819,-3.49522,-0.208522
150,54,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-2.28747,-1.20995,-1.60107,-2.42679,-3.07845,-0.161687,0.0262158,0.122896,0.178234,-0.0854463,1.36145,0.757621,0.706205,0.948833,2.42339,1.99732,0.430939,1.42623,1.47969,2.29124,-0.932207,-1.04443,-0.195785,-0.0292299,-0.300878,-0.853145,-1.53185,-3.51782,-0.237824
151,55,Female,No religion,Single,No,Long COVID,4,NA,,20260909002,-2.37147,-1.37317,-1.59749,-2.5546,-3.30938,-0.277323,-0.161119,0.0539063,-0.108387,-0.0930985,1.00442,0.52271,0.573558,0.763621,2.33043,2.20757,0.730998,1.3485,1.4523,2.65331,-0.860423,-1.08555,-0.173115,0.0064842,-0.324521,-0.797276,-1.59359,-3.57193,-0.23153
152,40,Female,Christian,Single,No,Bereaved,3,NA,,20260909002,-2.34856,-1.31808,-1.55558,-2.48235,-3.08761,-0.211849,-0.0772345,0.0961256,0.152939,-0.149707,1.30039,0.680274,0.648623,0.736783,2.13768,2.10732,0.626869,1.28252,1.28961,2.29407,-0.812219,-1.01036,-0.194326,0.00724849,-0.321687,-0.816113,-1.49654,-3.45159,-0.21695
153,23,Male,Christian,Single,No,Had COVID,1,NA,,20260909002,-2.34618,-1.23657,-1.56869,-2.53905,-3.22089,-0.0240914,-0.00546572,0.128899,0.0694814,0.0469957,1.43362,0.805147,0.675057,1.08104,2.49374,2.17109,0.677769,1.44306,1.75275,2.59623,-0.858945,-1.03937,-0.157768,-0.00843203,-0.308485,-0.783205,-1.52081,-3.50685,-0.222805
154,25,Female,Christian,Single,No,None,4,NA,,20260909002,-2.61995,-1.59223,-1.73118,-2.61705,-3.46356,-0.0470303,0.104818,0.144121,-0.0190893,0.111433,1.25599,0.698581,0.698947,0.852044,2.44687,2.17443,0.728509,1.53716,1.61006,2.71018,-0.902448,-1.12651,-0.204805,-7.70582e-4,-0.372428,-0.858927,-1.63904,-3.60194,-0.171313
155,82,Female,Christian,Divorced,No,None,3,NA,,20260909002,-2.10562,-1.13638,-1.46391,-2.4045,-3.01837,-0.347479,-0.170053,-0.0239299,-0.00632566,-0.140534,1.11317,0.477055,0.549707,0.74256,2.09489,1.89224,0.578669,1.34446,1.42772,2.53712,-0.910118,-1.0562,-0.188622,0.0120992,-0.303514,-0.797084,-1.49576,-3.44149,-0.229617
156,30,Female,No religion,Married,Yes,Had COVID,1,5,Institutional Trust and Technocratic Governance,20260909002,-2.43095,-1.26895,-1.61528,-2.60423,-3.15813,-0.178164,-0.0544203,0.0431625,-0.0591348,-0.0972684,1.22016,0.483464,0.619169,0.992051,2.09885,2.14535,0.589927,1.52327,1.68461,2.40496,-0.884052,-1.04078,-0.220972,0.0370519,-0.308424,-0.753283,-1.52428,-3.53934,-0.260266
157,32,Male,Christian,Single,No,None,4,NA,,20260909002,-2.28721,-1.16094,-1.49237,-2.22317,-3.05883,-0.22699,-0.138773,-0.0304555,-0.180732,-0.216598,1.18068,0.450396,0.501579,0.616077,2.20314,2.1218,0.655587,1.4945600000000001,1.3885,2.65913,-0.940589,-1.0643,-0.179722,-0.0197056,-0.319549,-0.85342,-1.5387,-3.57742,-0.207464
158,40,Male,Christian,Widowed,Yes,Had COVID,3,NA,,20260909002,-2.22864,-1.02818,-1.4915,-2.37689,-2.87809,-0.341962,-0.340046,-0.0861314,-0.159492,-0.437929,1.25102,0.564083,0.528372,0.748402,2.20789,2.03014,0.517221,1.35107,1.53612,2.41449,-0.917501,-1.09599,-0.133098,-0.0314052,-0.283069,-0.784404,-1.58299,-3.59482,-0.266011
159,24,Female,Muslim,Single,No,Had COVID,3,NA,,20260909002,-2.31977,-1.21038,-1.59566,-2.46778,-2.98815,-0.137882,0.041804,0.130532,0.0419926,-0.0171214,0.916122,0.27874,0.508444,0.809823,1.94035,1.93114,0.380026,1.35378,1.48454,2.29105,-0.89129,-1.07504,-0.160593,0.0036519,-0.393472,-0.811922,-1.55031,-3.52665,-0.250965
160,78,Male,Christian,Separated,No,None,1,NA,,20260909002,-2.34922,-1.23749,-1.64674,-2.71075,-3.07734,-0.0803839,-0.0970275,0.00891021,0.00914847,-0.239367,1.18654,0.541635,0.595975,0.922591,2.33895,2.00004,0.504038,1.42397,1.72883,2.54505,-0.874543,-1.07832,-0.163009,0.019463,-0.302216,-0.750292,-1.56048,-3.56828,-0.249422
161,37,Female,No religion,Divorced,No,Had COVID,2,NA,,20260909002,-2.17482,-1.24189,-1.64537,-2.5201,-2.9525,-0.325323,-0.0794659,0.116895,-0.0240276,-0.135283,1.08294,0.549914,0.687662,1.00837,2.17275,2.07956,0.61517,1.43848,1.61486,2.31915,-0.892914,-1.05886,-0.163036,0.00818591,-0.324326,-0.805725,-1.55073,-3.54824,-0.207851
162,34,Female,Other religion,Married,Yes,None,4,NA,,20260909002,-2.53562,-1.31997,-1.5602,-2.55873,-3.24476,-0.0660825,0.022199,0.113286,0.058458,-0.0965809,1.31782,0.657898,0.676094,1.01888,2.40517,2.26526,0.736423,1.42896,1.67128,2.72883,-0.896813,-1.03007,-0.239118,-0.0393338,-0.306027,-0.792803,-1.50974,-3.49283,-0.238053
163,26,Male,Christian,Single,No,Had COVID,4,NA,,20260909002,-2.44102,-1.36304,-1.63899,-2.83539,-3.3334,-0.320691,-0.118194,0.0883764,0.0771671,-0.0086417,1.41022,0.603261,0.641617,1.09335,2.43324,2.2128,0.827998,1.45318,1.84327,2.84578,-0.876029,-1.06172,-0.207057,0.0152372,-0.354147,-0.901605,-1.53677,-3.60245,-0.200059
164,50,Male,Christian,Married,Yes,Had COVID,4,NA,,20260909002,-2.48399,-1.40339,-1.56366,-2.5916,-3.32688,-0.143941,0.0598586,0.0526465,0.0272601,-0.0426504,1.43662,0.717072,0.70635,1.29173,2.5082,2.13004,0.657552,1.32678,1.46502,2.59209,-0.935723,-1.04673,-0.170327,0.0136206,-0.331121,-0.798376,-1.52268,-3.48076,-0.247067
165,63,Male,Christian,Divorced,No,Had COVID,3,NA,,20260909002,-2.48399,-1.40339,-1.56366,-2.5916,-3.32688,-0.143941,0.0598586,0.0526465,0.0272601,-0.0426504,1.43662,0.717072,0.70635,1.29173,2.5082,2.13004,0.657552,1.32678,1.46502,2.59209,-0.935723,-1.04673,-0.170327,0.0136206,-0.331121,-0.798376,-1.52268,-3.48076,-0.247067
166,76,Female,Christian,Married,No,None,4,NA,,20260909002,-2.18916,-1.17985,-1.432,-2.50273,-3.01602,-0.192757,0.0233354,-0.0658005,0.0412802,-0.0702078,0.93365,0.360901,0.489861,0.690849,2.03577,1.92809,0.47041,1.29302,1.36555,2.29608,-0.898493,-1.01898,-0.180406,0.0144919,-0.29751,-0.730447,-1.50109,-3.45547,-0.212962
167,20,Female,Christian,Single,No,Bereaved,2,NA,,20260909002,-2.11134,-1.14882,-1.55785,-2.55553,-3.00539,-0.364411,-0.00859819,0.0762664,0.116709,-0.047412,1.06943,0.399244,0.550218,0.803682,1.88056,2.02514,0.570305,1.33971,1.44637,2.475,-0.83665,-1.00819,-0.154677,0.0493928,-0.319426,-0.732476,-1.54984,-3.52258,-0.205347
168,63,Female,No religion,Married,No,Bereaved,3,NA,,20260909002,-2.09926,-1.14615,-1.37988,-2.38245,-2.99295,-0.137396,-0.0121831,0.012648,0.0375785,0.0444291,1.01237,0.513146,0.536593,0.733223,2.19173,1.74865,0.44683,1.21215,1.28538,2.18444,-0.903834,-1.05852,-0.192467,-0.0207991,-0.32466,-0.817496,-1.49263,-3.51571,-0.207733
169,64,Male,No religion,Married,No,None,3,NA,,20260909002,-2.34298,-1.13371,-1.42132,-2.31113,-3.01171,-0.21585,-0.0232477,0.0291975,-0.074774,-0.137704,1.25406,0.459985,0.465399,0.800627,2.30854,2.20211,0.584138,1.25798,1.42795,2.42835,-0.859442,-1.00159,-0.197211,-0.0166477,-0.35702,-0.804551,-1.51678,-3.45119,-0.213051
170,32,Male,Christian,Single,No,Bereaved,2,NA,,20260909002,-2.26944,-1.24731,-1.55054,-2.4036,-3.14008,-0.151271,0.0696585,0.0681863,0.0994183,0.135266,1.2329,0.575159,0.685399,0.756116,2.22341,1.98755,0.485291,1.37753,1.30921,2.34203,-0.903128,-1.02562,-0.182894,0.00757498,-0.347049,-0.807847,-1.50574,-3.52469,-0.217312
171,30,Male,Christian,Single,No,Bereaved,3,NA,,20260909002,-2.39129,-1.39983,-1.68929,-2.74055,-3.32878,-0.270036,0.0581769,0.0715879,0.0313273,-0.0247399,1.24477,0.603435,0.709546,1.12298,2.5582,2.19978,0.720408,1.46615,1.62023,2.7072600000000002,-0.932005,-1.14172,-0.170002,0.00437876,-0.311179,-0.807936,-1.56432,-3.59348,-0.236305
172,30,Female,Not answered,Married,Yes,Had COVID,2,NA,,20260909002,-2.40929,-1.33077,-1.56837,-2.42268,-2.94733,-0.389966,-0.194318,-0.0998869,-0.332151,-0.525884,1.27071,0.584744,0.651533,0.888791,2.20057,2.27824,0.790032,1.50511,1.62616,2.62887,-0.856379,-1.06574,-0.18399,-0.0301185,-0.319073,-0.780336,-1.514,-3.3841,-0.191475
173,33,Female,Christian,Single,Yes,None,3,NA,,20260909002,-2.45147,-1.22232,-1.62798,-2.50362,-3.10135,0.0868708,0.0102706,0.102935,0.103299,-0.0802409,1.10765,0.395475,0.557006,0.642122,2.16594,2.0689,0.54709,1.4274,1.51814,2.579,-0.892582,-1.04449,-0.2313,0.0121313,-0.331713,-0.823129,-1.56734,-3.52771,-0.222722
174,43,Male,Christian,Married,Yes,None,4,NA,,20260909002,-2.39029,-1.21791,-1.63092,-2.55847,-3.03844,-0.0612122,-0.0174473,0.151225,0.214347,-0.131633,1.14616,0.474027,0.563474,0.743516,2.26963,1.91413,0.437194,1.34062,1.40095,2.39484,-0.897274,-1.02635,-0.166343,0.0216317,-0.309613,-0.810398,-1.57724,-3.57437,-0.289519
175,58,Female,Christian,Divorced,No,Had COVID,1,NA,,20260909002,-2.34425,-1.1941,-1.5148,-2.41644,-2.95401,-0.370838,-0.227518,-0.013096,-0.0174514,-0.417941,1.1184,0.440577,0.525023,0.708497,2.04932,2.17797,0.606692,1.35142,1.45834,2.4266,-0.846843,-1.03663,-0.13476,-0.00478992,-0.350094,-0.826135,-1.53869,-3.45895,-0.200884
176,67,Male,No religion,Single,No,Had COVID,2,NA,,20260909002,-2.29831,-1.35562,-1.60444,-2.51072,-3.25244,-0.111897,-0.0123416,0.127305,0.0348356,0.135054,0.856711,0.493861,0.541322,0.639153,2.1185,2.02226,0.611094,1.34852,1.35991,2.45189,-0.916728,-1.09853,-0.205379,0.0319349,-0.292294,-0.860052,-1.523,-3.52467,-0.215741
177,57,Male,No religion,Divorced,Yes,Had COVID,4,NA,,20260909002,-2.18383,-1.1104,-1.53603,-2.48177,-2.88058,-0.259466,-0.101961,-0.00686222,-0.127275,-0.188023,1.05852,0.359018,0.659334,1.0086,2.02537,1.94979,0.425172,1.30897,1.41187,2.33524,-0.904724,-1.058,-0.201108,-0.0183564,-0.316701,-0.812415,-1.50608,-3.47867,-0.231854
178,74,Female,Christian,Widowed,No,Bereaved,3,NA,,20260909002,-2.49501,-1.32944,-1.52925,-2.59603,-3.16312,0.0851845,0.1082,0.0914806,0.0434397,0.239557,1.04155,0.404244,0.419068,0.699985,1.96788,2.13943,0.595783,1.28407,1.43366,2.38458,-0.912231,-1.07588,-0.172398,-0.00229813,-0.285594,-0.712927,-1.53247,-3.50797,-0.211425
179,62,Male,No religion,Married,No,Bereaved,1,NA,,20260909002,-2.41798,-1.24624,-1.51331,-2.54302,-2.99452,-0.0872954,-0.0796392,0.0452114,0.0493971,-0.221236,1.29404,0.542427,0.445839,0.865587,2.31061,2.28111,0.726885,1.42466,1.68118,2.61531,-0.843555,-1.01542,-0.187012,-0.0110192,-0.345478,-0.813986,-1.50308,-3.4936,-0.238141
180,29,Female,Muslim,Single,No,None,3,NA,,20260909002,-2.33302,-1.20658,-1.46881,-2.40822,-3.1462,-0.153648,-0.0159614,0.108633,0.180386,-0.187616,0.830073,0.129902,0.31799,0.550565,2.16785,2.04578,0.471443,1.30541,1.31499,2.49312,-0.875791,-1.069,-0.220295,-0.0450005,-0.335477,-0.83533,-1.5176,-3.54208,-0.270089
181,42,Male,Not answered,Divorced,No,None,4,NA,,20260909002,-2.35607,-1.26168,-1.56482,-2.54082,-2.97865,-0.0562893,0.0137713,0.0903168,0.156135,-0.182881,1.27962,0.736539,0.646134,0.97272,2.2192,2.18457,0.726904,1.44056,1.7031,2.45979,-0.8376,-0.972825,-0.159989,0.0244838,-0.313651,-0.816508,-1.51904,-3.51006,-0.249173
182,33,Female,Christian,Divorced,No,None,1,NA,,20260909002,-2.43251,-1.50044,-1.52539,-2.622,-3.144,-0.198101,0.0270506,0.102519,0.00727971,-0.100228,1.34489,0.842382,0.589687,1.00635,2.36391,2.12882,0.728019,1.33732,1.56927,2.43508,-0.833656,-0.997273,-0.201235,0.0051582,-0.313569,-0.795801,-1.45215,-3.43075,-0.245368
183,84,Female,Other religion,Married,No,Bereaved,1,NA,,20260909002,-2.30024,-1.16568,-1.45048,-2.4691,-3.30703,-0.480815,-0.358989,-0.104992,-0.178289,-0.284405,1.37654,0.678061,0.585771,1.01162,2.63882,2.12598,0.584188,1.32307,1.57207,2.71429,-0.849181,-1.08322,-0.185869,-0.0261301,-0.30987,-0.830654,-1.56265,-3.57959,-0.206083
184,29,Male,Christian,Single,No,Bereaved,2,NA,,20260909002,-2.49907,-1.53299,-1.60223,-2.63605,-3.60358,-0.136466,0.0402256,0.11742,0.0173514,0.0933976,1.37433,0.816551,0.698081,1.01523,2.71522,2.28821,0.827381,1.36562,1.77782,2.94188,-0.946878,-1.097,-0.139366,0.010053,-0.309763,-0.780436,-1.49461,-3.54824,-0.251872
185,34,Female,Muslim,Single,No,None,3,NA,,20260909002,-2.37935,-1.35864,-1.48658,-2.58009,-3.17398,-0.0975368,-0.0423157,0.0306169,0.1377,-0.119405,1.1783,0.67953,0.555897,0.910102,2.23515,2.27841,0.761816,1.39946,1.57194,2.73796,-0.883363,-1.09836,-0.150316,0.0242416,-0.307182,-0.819442,-1.523,-3.52109,-0.215292
186,68,Female,Christian,Married,No,None,1,NA,,20260909002,-2.54246,-1.29122,-1.60901,-2.57328,-3.16489,0.0454813,0.0934909,0.126142,0.0708758,0.12522,1.18334,0.380522,0.503768,0.879404,2.16145,2.07954,0.482202,1.33332,1.54763,2.2239,-0.891762,-1.03659,-0.132824,0.0236732,-0.333248,-0.793657,-1.53302,-3.49533,-0.219778
187,39,Male,Christian,Married,Yes,None,1,NA,,20260909002,-2.49408,-1.38248,-1.55649,-2.81634,-3.29954,-0.149053,-0.042491,0.0533947,0.180313,-0.134271,1.25833,0.596186,0.578537,1.02358,2.41705,2.2509,0.795455,1.39324,1.69887,2.75898,-0.861864,-1.02568,-0.176255,0.0535452,-0.251127,-0.769146,-1.47714,-3.41848,-0.221517
188,19,Female,No religion,Single,No,None,3,NA,,20260909002,-2.50512,-1.5369,-1.63518,-2.53954,-3.55384,0.0991964,0.22287,0.136194,0.131639,0.0852222,1.08443,0.572681,0.623012,0.697402,2.32179,2.03125,0.652571,1.38253,1.43585,2.79719,-0.857492,-1.0485,-0.129143,0.0173884,-0.35538,-0.793841,-1.50249,-3.44525,-0.19337
189,71,Female,No religion,Widowed,No,None,4,NA,,20260909002,-2.34166,-1.42798,-1.68243,-2.57627,-3.15344,0.0289001,0.0523153,0.108512,0.163009,-0.134317,0.96717,0.512434,0.558221,0.812914,2.03926,2.10575,0.825006,1.56149,1.57525,2.62518,-0.841238,-1.03071,-0.135124,-0.0307676,-0.307637,-0.78281,-1.53062,-3.50038,-0.164321
190,30,Female,Christian,Single,No,Bereaved,1,NA,,20260909002,-2.22535,-1.1965,-1.48122,-2.48346,-3.22265,-0.358866,-0.159747,-0.0525576,-0.0923469,-0.111852,0.994762,0.367427,0.402943,0.65559,2.23258,2.01484,0.551046,1.32524,1.37883,2.61091,-0.82544,-1.04831,-0.138511,0.0448152,-0.312665,-0.811838,-1.53673,-3.54876,-0.208992
191,90,Male,Christian,Widowed,No,None,3,2,Libertarianism,20260909002,-2.58476,-1.47341,-1.69865,-2.70455,-3.4268,-0.263357,-0.0987248,0.0254588,-0.0686202,-0.220367,1.44134,0.835291,0.676785,1.03625,2.65143,2.38496,0.835104,1.65107,1.73428,2.93465,-0.906336,-1.06973,-0.192214,-0.001775,-0.362388,-0.801536,-1.50658,-3.474,-0.169733
192,79,Male,Christian,Widowed,No,Had COVID,2,NA,,20260909002,-2.3115,-1.14498,-1.48143,-2.38153,-3.07238,-0.216623,-0.214984,0.00666304,-0.14493,-0.210963,1.47249,0.827485,0.71013,0.927902,2.56503,2.12087,0.540859,1.30976,1.63526,2.36413,-0.937287,-1.04059,-0.148468,-0.00393549,-0.283364,-0.818449,-1.476,-3.4747,-0.235317
193,54,Male,No religion,Married,No,Had COVID,4,NA,,20260909002,-2.2826,-1.16746,-1.52245,-2.54672,-3.11823,-0.113472,-0.0753706,0.0845549,0.058301,-0.0128275,1.21818,0.541508,0.628021,0.92767,2.23589,1.9907,0.448998,1.30114,1.51809,2.3626,-0.896117,-1.03626,-0.166097,0.0151003,-0.280055,-0.753253,-1.46953,-3.48232,-0.213143
194,54,Female,Sikh,Married,No,Bereaved,1,NA,,20260909002,-2.30371,-1.13811,-1.50639,-2.42452,-3.09499,-0.247867,-0.0874347,-0.0533886,-0.306062,-0.0978967,1.35339,0.48687,0.642909,0.999017,2.17875,1.79136,0.314863,1.18559,1.45442,2.45426,-0.840563,-1.0574,-0.210524,-0.0252834,-0.307501,-0.793182,-1.58067,-3.5604,-0.238783
195,75,Female,No religion,Widowed,No,Had COVID,4,NA,,20260909002,-2.4445,-1.46783,-1.59564,-2.55935,-3.42532,-0.254234,-0.146122,-0.0337518,0.049256,-0.17522,1.24429,0.764382,0.608979,0.699453,2.57181,2.10462,0.865114,1.4416,1.39505,2.93102,-0.90936,-1.09172,-0.167442,0.0382128,-0.318074,-0.785094,-1.55243,-3.53661,-0.20006
196,66,Female,Christian,Married,No,None,3,NA,,20260909002,-2.54532,-1.41522,-1.75859,-2.66126,-2.91273,-0.238493,0.0439734,0.159522,0.131531,0.0129958,1.32241,0.460015,0.551895,0.951024,1.75203,2.27766,0.593,1.4455,1.46162,1.96865,-0.893282,-1.02637,-0.173033,-0.00423875,-0.322679,-0.713258,-1.57214,-3.48362,-0.177362
197,23,Female,Christian,Single,No,Had COVID,4,NA,,20260909002,-2.43813,-1.45075,-1.4983,-2.4169,-3.28558,-0.253183,0.0233903,-0.0391335,-0.07823,0.0621771,1.29557,0.623541,0.502348,0.705652,2.26553,2.18047,0.638248,1.38638,1.41711,2.50743,-0.867738,-1.05392,-0.157766,-0.0166174,-0.332555,-0.84881,-1.54877,-3.52655,-0.21732
198,40,Female,Christian,Single,Yes,None,4,NA,,20260909002,-2.33644,-1.26515,-1.63338,-2.74352,-3.21123,-0.189794,-0.0576186,0.0955275,0.210226,-0.0686131,1.1704,0.577537,0.709706,0.956248,2.25023,1.96156,0.595919,1.39675,1.5613,2.63791,-0.942199,-1.07545,-0.165633,0.0609476,-0.315638,-0.865114,-1.52694,-3.46696,-0.227231
199,49,Male,Christian,Married,No,Bereaved,4,NA,,20260909002,-2.2826,-1.16746,-1.52245,-2.54672,-3.11823,-0.113472,-0.0753706,0.0845549,0.058301,-0.0128275,1.21818,0.541508,0.628021,0.92767,2.23589,1.9907,0.448998,1.30114,1.51809,2.3626,-0.896117,-1.03626,-0.166097,0.0151003,-0.280055,-0.753253,-1.46953,-3.48232,-0.213143
200,39,Male,No religion,Married,Yes,Had COVID,3,NA,,20260909002,-2.42392,-1.39387,-1.6002,-2.43386,-3.21293,-0.424657,-0.194824,-0.163438,-0.240907,-0.385335,1.26022,0.635836,0.621693,0.716687,2.29904,2.35939,0.860398,1.50353,1.618,2.82096,-0.851714,-1.04417,-0.216366,0.0337163,-0.327305,-0.764298,-1.53402,-3.5146,-0.211375
201,83,Male,Christian,Married,No,Had COVID,1,NA,,20260909002,-2.58687,-1.42659,-1.58848,-2.41888,-3.15093,-0.286134,-0.124362,-0.0111821,-0.120406,-0.113584,1.52991,0.777938,0.595065,0.776722,2.35702,2.3957,0.792825,1.50404,1.6736,2.64552,-0.868403,-1.06025,-0.205143,-0.00106337,-0.356567,-0.859757,-1.54666,-3.49697,-0.229158
202,50,Female,No religion,Divorced,No,Had COVID,3,NA,,20260909002,-2.41099,-1.2216,-1.47621,-2.54978,-3.06637,-0.0214504,0.00381821,0.076707,0.0987679,-0.0672841,1.0867,0.379305,0.459896,0.836026,2.14761,2.09906,0.586883,1.3233,1.53859,2.55864,-0.823967,-1.03068,-0.169787,-0.0435864,-0.332671,-0.773507,-1.52291,-3.49088,-0.24951
203,51,Female,Christian,Married,No,Long COVID,1,2,Libertarianism,20260909002,-2.44365,-1.27357,-1.5711,-2.55043,-3.0676,-0.120817,0.02665,0.127223,0.0631827,-0.125321,1.33329,0.583987,0.66118,1.03906,2.08865,2.25363,0.6924,1.41649,1.62156,2.59752,-0.896586,-1.03719,-0.212721,-0.0165544,-0.351561,-0.793055,-1.51344,-3.49494,-0.239507
204,73,Female,Christian,Married,No,None,2,NA,,20260909002,-2.44233,-1.27899,-1.55523,-2.72759,-3.03167,-0.254702,-0.15676,-0.0144291,0.00466092,-0.106998,1.23732,0.575644,0.654694,1.14894,2.13498,2.10808,0.528402,1.42133,1.77002,2.27106,-0.947255,-1.0951,-0.156769,0.0235999,-0.362363,-0.82385,-1.52736,-3.51163,-0.20986
205,23,Female,No religion,Single,No,Had COVID,2,NA,,20260909002,-2.28801,-1.21116,-1.62847,-2.39257,-3.02976,-0.236233,-0.0225322,0.199089,0.00799802,0.0353646,1.32457,0.64748000000000006,0.730233,0.828753,2.16939,2.05462,0.450133,1.36517,1.39758,2.21827,-0.88269,-1.02905,-0.160235,0.0343465,-0.340837,-0.739567,-1.43359,-3.38314,-0.204243
206,33,Male,Christian,Single,Yes,Had COVID,2,NA,,20260909002,-2.20633,-1.24875,-1.50131,-2.5484,-3.29886,-0.124963,-0.015948,0.00833559,0.0949986,0.0305052,1.20089,0.69057,0.614063,1.10048,2.47926,1.8339,0.518082,1.35405,1.52804,2.45151,-0.84392,-1.01831,-0.14618,0.0254577,-0.298307,-0.825219,-1.55167,-3.49695,-0.196439
207,82,Male,Christian,Widowed,No,None,3,NA,,20260909002,-2.23452,-1.10973,-1.37071,-2.32754,-2.89558,-0.112898,0.0114551,-0.0328573,-0.169648,0.0138529,0.928214,0.34205,0.384119,0.645043,1.94465,1.84594,0.327705,1.22497,1.29444,2.25536,-0.897547,-1.05917,-0.223787,-0.046719,-0.33707,-0.79337,-1.51686,-3.53837,-0.203879
208,55,Male,No religion,Married,No,Bereaved,4,NA,,20260909002,-2.32443,-1.14189,-1.49324,-2.56578,-3.06776,-0.0373065,0.125447,0.125397,0.229751,0.00895174,0.98296,0.357032,0.460128,0.669528,2.16526,1.95437,0.338807,1.2779,1.45196,2.29555,-0.911012,-1.07895,-0.239937,-0.00355729,-0.335338,-0.786779,-1.50017,-3.49775,-0.234266
209,61,Male,Christian,Single,No,None,1,2,Libertarianism,20260909002,-2.40284,-1.54919,-1.75779,-2.85659,-3.36211,-0.126159,0.0483279,0.0708127,0.215635,-0.149556,1.21815,0.752947,0.803169,1.06074,2.27604,2.07872,0.862793,1.55524,1.73391,2.79069,-0.884498,-1.06475,-0.158153,0.0374473,-0.329649,-0.797929,-1.51885,-3.41158,-0.17305
210,39,Female,Christian,Single,No,None,3,NA,,20260909002,-2.39342,-1.38135,-1.60856,-2.68309,-3.32499,-0.338246,-0.0358869,0.0642967,-0.057406,-0.0355132,1.39318,0.733595,0.607927,1.11133,2.37219,2.25152,0.725325,1.45156,1.72121,2.65576,-0.886935,-1.07316,-0.128581,0.0184658,-0.277565,-0.769652,-1.53262,-3.47762,-0.208284
211,88,Female,Christian,Married,No,Bereaved,1,1,Scientific Rationalism,20260909002,-2.21703,-1.07976,-1.45446,-2.26482,-2.95889,-0.239147,-0.11095,-0.0105228,-0.0236651,-0.0377495,0.933532,0.280519,0.514639,0.780586,1.88096,2.03974,0.449493,1.37908,1.39014,2.31975,-0.881491,-1.0196,-0.241379,-0.0603847,-0.323979,-0.844007,-1.49508,-3.48853,-0.255633
212,61,Female,Christian,Married,No,Long COVID,1,4,Conspiracy Ideation,20260909002,-2.47976,-1.4576,-1.61901,-2.61751,-3.51145,-0.110752,0.106821,0.0681043,-0.0463152,0.128276,1.1952,0.646402,0.703681,1.02127,2.40096,1.98869,0.573215,1.34922,1.54165,2.60087,-0.865752,-1.01502,-0.187895,-0.016258,-0.351373,-0.827247,-1.50256,-3.44762,-0.202402
213,57,Male,No religion,Married,Yes,Had COVID,3,NA,,20260909002,-2.42569,-1.18846,-1.58512,-2.43219,-3.00976,0.0390538,0.0822097,0.115585,0.0835785,0.103447,0.993658,0.339387,0.557986,0.772318,1.91675,1.96799,0.453803,1.34146,1.32482,2.34313,-0.919834,-1.03874,-0.180872,0.0159052,-0.329105,-0.855864,-1.55639,-3.53595,-0.191729
214,60,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-2.37059,-1.23074,-1.57924,-2.5644,-3.05001,-0.272861,-0.198994,-0.0259739,-0.0837516,-0.286059,1.21126,0.517504,0.616101,0.955423,2.06254,2.20235,0.665646,1.45179,1.70336,2.62691,-0.893654,-1.03968,-0.185558,0.0211344,-0.356112,-0.821278,-1.50878,-3.43097,-0.244299
